210907;RU;MON;SALAZAR;555;9584849.0;553907.0
180959;RU; ;ANTONIO FURTADO;351;9585328.0;553932.0
2699617;RU; ;ADOLFO HERBSTER;427;9586186.0;550992.0
212902;RU; ;JULIA VASCONCELOS;173;9584752.0;554803.0
243636;RU;PDE;FRANCISCO PINTO;373;9586298.0;551067.0
1315326;RU;BAR;DE ARATANHA;273;9587170.0;552545.0
2594579;RU; ;DO CORRENTE;63;9587867.0;550750.0
2712923;RU; ;CASTRO E SILVA;70;9588377.0;552641.0
5501137;RU;BAR;DO RIO BRANCO;1071;;
3589;RU;PRC;ISABEL;140;9588615.0;551763.0
37074;RU; ;GERVASIO DE CASTRO;28;9586877.0;551192.0
180530;AV; ;PONTES VIEIRA;1159;9585264.0;554294.0
5234036;RU; ;ADOLFO SIQUEIRA;315;9586255.0;553546.0
2888486;AV; ;DA UNIVERSIDADE;2236;9586962.0;551595.0
5338699;RU;PRC;ISABEL;805;9587980.0;551579.0
4481;RU;STO;INACIO;201;9588987.0;551407.0
3395925;AV; ;PONTES VIEIRA;680;9585199.0;553890.0
66152;RU;DNA;LEOPOLDINA;74;9588192.0;553553.0
3978495;RU; ;CAMBIRIMBAS;193;;
2690445;RU; ;CAMBIRIMBAS;161;9587120.0;550978.0
5886074;RU; ;JOAO BRIGIDO;47;9586811.0;553000.0
6018202;RU; ;MARIA STELA;16;9588904.0;550666.0
2661;RU;DOR;JOAO MOREIRA;441;9588585.0;552391.0
5985610;RU; ;0025 DE MARCO;169;9588241.0;553174.0
5726299;RU; ;EPIFANIO LEITE;47;9588307.0;550642.0
254047;RU; ;WALDERY UCHOA;383;9586088.0;551148.0
5697751;RU;PRO;FRANCISCO GONCALVES;1270;9585583.0;556336.0
5090300;RU; ;SILVA PAULET;2154;9586150.0;554613.0
5347201;AV;VIS;DO RIO BRANCO;2270;9586574.0;552984.0
2699984;RU; ;JAIME CALADO;62;9585329.0;552514.0
9633;RU; ;ADARIAS DE LIMA;50;9588814.0;551971.0
5079334;RU; ;CONFUCIO PAMPLONA;157;;
243981;RU;MAL;DEODORO;1345;9585881.0;551306.0
5692675;RU;MAJ;FACUNDO;942;9587639.0;552340.0
308146;RU;SAO;PAULO;2066;9588776.0;550700.0
5220407;;;;577;9587918.0;552588.0
5692958;RU; ;LAURO MAIA;1329;;
7624;RU; ;LIBERATO BARROSO;1354;9588297.0;551211.0
4514174;RU;SEN;JAGUARIBE;478;9588771.0;552152.0
2353699;RU;MAJ;FACUNDO;1446;9587124.0;552174.0
4434982;RU; ;RUBIA SAMPAIO;1169;9587502.0;551025.0
4596822;AV;VIS;DO RIO BRANCO;3794;9585053.0;553248.0
4280640;VL; ;MOTA;10;9587231.0;551325.0
181222;RU; ;MARCONDES PEREIRA;1485;9585477.0;555158.0
5091149;RU;SAO;PAULO;650;;
4110763;RU; ;GONCALVES LEDO;2647;;
