5271699;RU; ;TIBURCIO RODRIGUES;100;-38.310.480;-3.455.474
183274;RU;CEL;LINHARES;2290;;
219987;RU;CAP;GUSTAVO;4403;-38.309.492;-3.456.050
825;RU;MAJ;FACUNDO;733;;
1734184;RU; ;SORIANO ALBUQUERQUE;155;-38.313.291;-3.448.633
1775312;AV;VIS;DO RIO BRANCO;2125;-38.314.053;-3.443.936
2699653;RU;CAP;MELO;3880;-38.307.894;-3.453.685
5527015;RU; ;LIBERATO BARROSO;1115;-38.322.344;-3.435.363
2648901;RU; ;CONFUCIO PAMPLONA;157;-38.321.454;-3.443.397
65565;RU; ;BATURITE;124;-38.313.807;-3.434.077
2710535;RU; ;DOS CARIRIS;43;-38.310.244;-3.431.492
1156717;AV;BAR;DE STUDART;2360;-38.306.146;-3.446.551
2574665;RU; ;DO CORRENTE;194;-38.325.777;-3.437.790
4801684;RU; ;DOS CAMPEOES;34;-38.305.937;-3.450.324
185916;AV;BAR;DE STUDART;3103;-38.308.047;-3.451.327
38415;RU;DOM;JERONIMO;926;-38.325.269;-3.443.751
5515137;RU; ;CAIO CARLOS;149;;
4704904;VL; ;MARIA NOGUEIRA;38;-38.305.150;-3.453.116
138481;RU; ;RODRIGUES JUNIOR;543;-38.311.959;-3.437.717
1080315;RU; ;ANA GONCALVES;426;-38.307.518;-3.455.731
174198;AV;VIS;DO RIO BRANCO;1798;-38.314.429;-3.441.971
5174520;RU;DOR;JOAO DE DEUS;173;-38.314.494;-3.446.987
276137;RU; ;RUBIA SAMPAIO;1370;-38.324.761;-3.440.397
183171;RU; ;LEONARDO MOTA;2995;-38.300.831;-3.451.745
5690417;RU; ;DO CORRENTE;95;;
2688620;VI; ;FERREA PARANGABA MUCURIPE;6906;-38.305.748;-3.456.492
4037696;;;;;;
2473294;;;;;-38.321.003;-3.442.903
308105;RU; ;ADOLFO CAMPELO;133;;
4586781;RU; ;BELIZARIO TAVORA;465;-38.303.239;-3.455.691
2049896;AV; ;CARAPINIMA;2200;;
4957834;AV;VIS;DO RIO BRANCO;1351;-38.314.861;-3.439.748
1180395;RU; ;GONCALVES LEDO;2550;-38.311.691;-3.445.417
308237;RU;CEL;MESSIAS FILOMENO;2;-38.326.791;-3.431.327
5475896;RU; ;HENRIQUE RABELO;1446;-38.312.776;-3.446.039
2733366;RU; ;FLORO BARTOLOMEU;763;-38.304.313;-3.455.835
4018551;;;;;;
5895396;RU; ;HENRIQUE RABELO;1446;-38.312.793;-3.446.049
5462521;RU; ;DOMINGOS OLIMPIO;794;-38.318.338;-3.442.176
175799;RU;DNA;LEOPOLDINA;1529;-38.312.981;-3.442.924
5362574;RU;ECV;PINHEIRO;4369;-38.304.698;-3.455.742
989296;RU; ;JULIO CESAR;237;-38.323.839;-3.448.037
2711481;RU; ;DOMINGOS OLIMPIO;480;-38.317.226;-3.442.422
5594857;AV;BAR;DE STUDART;2441;-38.305.921;-3.446.870
5983959;RU; ;JULIO PINTO;2075;;
5832673;RU; ;ROCHA LIMA;135;-38.313.773;-3.441.747
175951;RU; ;JOAQUIM TORRES;268;-38.312.591;-3.444.713
137422;AV;VIS;DO RIO BRANCO;1372;-38.314.911;-3.439.730
5501407;RU; ;JUSTINIANO DE SERPA;702;-38.324.946;-3.442.371
6030698;RU; ;JUVENAL GALENO;110;-38.322.181;-3.444.515
2586825;RU; ;CONFUCIO PAMPLONA;157;-38.321.338;-3.443.499
2711237;RU; ;RODRIGUES JUNIOR;1291;-38.313.344;-3.441.602
3609010;RU; ;LAURO MAIA;1375;;
2687589;TR; ;LIBERTADOR;64;-38.308.282;-3.456.778
5605380;RU; ;SOLON PINHEIRO;1000;-38.317.780;-3.443.453
2890373;AV; ;PONTES VIEIRA;1380;-38.305.721;-3.451.415
185870;AV;BAR;DE STUDART;3103;-38.308.047;-3.451.327
30023;VL; ;DEMONIER;34;-38.318.849;-3.446.752
28945;RU; ;ANTONIO POMPEU;522;-38.317.208;-3.441.274
2687428;RU; ;JUVENAL GALENO;634;-38.324.138;-3.442.878
34274;RU;STA;MARIA;8;-38.318.853;-3.443.574
5179929;RU; ;HERMINIO BARROSO;4327;-38.306.342;-3.456.353
5461763;AV; ;CARAPINIMA;2200;;
32239;RU;BAR;DE ARATANHA;1050;-38.317.701;-3.445.264
213791;RU;CAP;DAKIR;80;-38.307.980;-3.456.886
174401;AV;VIS;DO RIO BRANCO;2390;-38.313.779;-3.445.116
5576307;RU; ;JOSE VILAR;3121;-38.305.631;-3.450.124
4097963;;;;;;
4212070;RU; ;PACUJA;78;-38.302.924;-3.452.976
211274;RU;MON;SALAZAR;1247;-38.305.042;-3.453.325
4506718;RU;CAP;GUSTAVO;4437;-38.309.433;-3.456.224
5509375;RU; ;WALDERY UCHOA;458;-38.324.090;-3.447.276
835491;RU;FRI;VIDAL;2083;-38.310.136;-3.455.040
2700200;RU; ;ANA GONCALVES;819;-38.305.367;-3.455.513
318328;AV; ;FRANCISCO SA;1771;;
4346459;RU; ;ANTONIO POMPEU;440;-38.317.168;-3.441.278
4223638;RU;BAR;DO RIO BRANCO;1302;-38.318.943;-3.438.750
2099102;RU;FIS;VIEIRA;3894;-38.309.335;-3.453.425
306934;RU; ;JUVENAL GALENO;378;-38.326.090;-3.438.662
2103942;VD; ;MOREIRA DA ROCHA;270;-38.312.708;-3.432.290
2101326;RU;PDE;MORORO;465;-38.321.688;-3.432.655
